movie_id,avg_sentiment_score,num_reviews,normalized_sentiment
tt0137523,0.9253702,104,0.91123813
tt0141842,0.94755936,60,0.938168
tt0143145,0.7263748,50,0.66972774
tt0145487,0.84705913,57,0.816196
tt0158417,0.95780534,54,0.95060295
tt0159206,0.8076548,52,0.768373
tt0162346,0.7996117,59,0.75861156
tt0163507,0.9147311,59,0.898326
tt0167260,0.8905817,126,0.8690172
tt0167261,0.8876002,128,0.86539865
tt0167404,0.88230646,126,0.8589739
tt0169547,0.9239881,132,0.90956074
tt0172495,0.8974427,136,0.87734395
tt0175142,0.6635855,58,0.59352356
tt0180093,0.8855045,128,0.8628552
tt0185183,0.3283391,68,0.18665239
tt0185906,0.93736786,56,0.9257991
tt0187664,0.92309386,57,0.90847546
tt0190374,0.35030398,53,0.21331002
tt0193676,0.9167641,55,0.9007933
tt0198781,0.8256773,60,0.790246
tt0200276,0.92333394,56,0.9087668
tt0203259,0.83877766,58,0.80614525
tt0208092,0.89075905,114,0.86923236
tt0209144,0.90265876,104,0.88367444
tt0211915,0.8891538,110,0.8672841
tt0213338,0.9439048,60,0.9337326
tt0214341,0.93926984,50,0.9281074
tt0229889,0.9421467,37,0.9315989
tt0237123,0.86107224,56,0.833203
tt0241527,0.8336549,54,0.799928
tt0245429,0.88929695,116,0.86745787
tt0246894,0.3197738,54,0.17625712
tt0248654,0.9422654,53,0.93174297
tt0249516,0.29102394,59,0.1413649
tt0252488,0.63636535,21,0.5604879
tt0253474,0.9219924,104,0.9071387
tt0257106,0.5316874,55,0.43344566
tt0264235,0.8812984,56,0.8577505
tt0264464,0.8973249,53,0.877201
tt0266543,0.8745209,56,0.849525
tt0266697,0.91291517,60,0.8961221
tt0268093,0.95948964,53,0.95264715
tt0268978,0.88643014,62,0.8639786
tt0270846,0.39597145,52,0.26873428
tt0275137,0.9013974,54,0.8821436
tt0278238,0.9368767,49,0.92520297
tt0279600,0.8765642,68,0.8520048
tt0280249,0.90460396,50,0.8860352
tt0281491,0.9155765,55,0.8993521
tt0286486,0.87255,55,0.847133
tt0290978,0.84124625,56,0.8091412
tt0290988,0.8839089,55,0.8609187
tt0295254,0.37067518,50,0.23803349
tt0295427,0.4204993,64,0.29850245
tt0296310,0.9272161,35,0.91347843
tt0299930,0.3771014,59,0.24583265
tt0303461,0.89401567,59,0.87318474
tt0306414,0.91477704,57,0.89838177
tt0311113,0.87742376,55,0.853048
tt0314331,0.8367704,55,0.80370915
tt0314979,0.770602,57,0.723404
tt0317248,0.95007294,106,0.94121855
tt0317676,0.33432972,58,0.19392289
tt0317705,0.88011825,51,0.8563182
tt0318871,0.9415301,33,0.93085057
tt0325980,0.8964912,68,0.87618923
tt0327554,0.49131197,52,0.38444412
tt0328107,0.8379308,52,0.8051174
tt0329028,0.31572402,60,0.1713421
tt0338013,0.8385835,122,0.80590963
tt0339034,0.32944432,33,0.18799374
tt0346336,0.9225551,53,0.9078216
tt0347149,0.9046112,53,0.88604397
tt0348914,0.9055253,56,0.88715345
tt0353049,0.8649631,59,0.8379252
tt0353969,0.90809095,50,0.8902672
tt0356470,0.7128547,53,0.65331906
tt0359950,0.85577756,31,0.82677716
tt0361748,0.9175879,104,0.9017931
tt0362165,0.33819288,55,0.19861141
tt0363163,0.8748709,106,0.8499497
tt0364569,0.91392815,110,0.8973515
tt0364725,0.7428308,58,0.68969953
tt0364845,0.8406165,65,0.80837697
tt0367279,0.87979674,58,0.855928
tt0368226,0.46117112,56,0.34786373
tt0369226,0.42686632,52,0.30622977
tt0369610,0.7451523,60,0.692517
tt0371746,0.9202485,54,0.9050222
tt0372784,0.907622,114,0.889698
tt0372873,0.35068575,68,0.21377335
tt0373732,0.89597094,59,0.8755578
tt0380136,0.8703405,42,0.8444515
tt0381681,0.88142663,53,0.8579061
tt0382932,0.84260756,57,0.8107934
tt0383222,0.36727205,68,0.23390329
tt0384766,0.905038,51,0.886562
tt0386676,0.8865478,70,0.8641214
tt0387764,0.9107424,57,0.8934851
tt0388629,0.95302683,50,0.94480354
tt0395169,0.84863555,58,0.8181093
tt0400426,0.5460253,51,0.45084682
tt0403778,0.89352995,52,0.87259525
tt0405094,0.91832924,104,0.90269285
tt0405159,0.9330495,61,0.9205581
tt0407362,0.8959088,64,0.8754823
tt0407887,0.9167173,132,0.9007366
tt0411008,0.9169316,68,0.9009967
tt0412142,0.9071198,53,0.8890886
tt0413573,0.77085036,50,0.7237054
tt0417056,0.27423173,30,0.120985076
tt0417299,0.9588549,57,0.9518768
tt0417373,0.90011215,58,0.88058376
tt0421051,0.30875334,54,0.16288216
tt0423731,0.9267028,71,0.91285545
tt0427340,0.85286784,52,0.82324576
